LAT,LONG,NAME,COUNTRY_CODE,COUNTRY,DEM_STD,COLD,WARM,GDP,POPULATION,DEM_MEAN
31.11200108,61.88699752,Zaranj,AFG,Afghanistan,222.4524471,-0.731999993,44.04000092,64080,49851,665.1654866
34.86600004,71.15000459,Asadabad,AFG,Afghanistan,1419.017856,-1.723999977,36.91199875,64080,48400,2239.661091
36.72999904,69.54000364,Taloqan,AFG,Afghanistan,1366.287962,-4.800000191,35.11199951,64080,64256,1896.422015
33.9667021,68.96670354,Baraki Barak,AFG,Afghanistan,803.1745717,-15.31200027,31.19199944,64080,22305,2455.299175
36.26100015,68.04000051,Aybak,AFG,Afghanistan,1129.842632,-6.539999962,35.17599869,64080,24000,1537.977734
34.45000209,68.79999663,Mayda Shahr,AFG,Afghanistan,808.3387356,-13.86800003,27.62800026,64080,35008,2617.102373
11.4519961,104.5189986,Kampong Spoe,KHM,Cambodia,179.7482013,22.39999962,34.13999939,58940,33231,82.8110806
11.48399998,105.3240036,Prey Veng,KHM,Cambodia,132.7342934,22.30399895,32.7879982,58940,74000,66.52858253
13.816701,104.9667037,Phnum Tbeng Meanchey,KHM,Cambodia,95.73543762,20.05200005,33.90399933,58940,24380,107.5837503
13.52300408,105.9740016,Stoeng Treng,KHM,Cambodia,187.5184554,20.58399963,33.27600098,58940,29665,171.135634
11.0799991,105.8010036,Svay Rieng,KHM,Cambodia,79.77065866,22.54000092,33.59999847,58940,23956,47.40389159
36.82199703,5.76600356,Jijel,DZA,Algeria,452.8242109,6.868750095,30.29375076,609400,148000,393.6128363
6.615000092,1.715004457,Lokossa,BEN,Benin,126.3066411,20.31599998,32.52799988,24310,86971,100.0455293
12.05499605,0.360999451,Fada Ngourma,BFA,Burkina Faso,48.7778352,17.07999992,37.77600098,32990,33910,259.2085757
36.80000111,4.033332556,Tizi-Ouzou,DZA,Algeria,415.8028074,3.328000069,29.98800087,609400,144000,338.8361394
36.05900401,4.629996466,Bordj Bou Arreridj,DZA,Algeria,405.2560267,-1.675999999,31.12400055,609400,140000,602.3755208
35.7000031,4.545000584,M'sila,DZA,Algeria,368.3063729,1.072000027,36.79199982,609400,150000,689.1331891
36.46600213,7.427997486,Guelma,DZA,Algeria,448.9888051,2.344000101,31.11600113,609400,123590,507.7845826
35.84999715,7.149996522,Oum el Bouaghi,DZA,Algeria,415.4081358,-1.983999968,32.32400131,609400,100821,699.1850245
43.13799911,24.71900459,Lovec,BGR,Bulgaria,380.2627349,-6.320000172,27.37199974,143100,42211,385.7891697
43.41400203,23.23700161,Montana,BGR,Bulgaria,405.5533944,-5.860000134,26.53199959,143100,47445,472.3916674
43.53399903,26.53599663,Razgrad,BGR,Bulgaria,181.6573308,-6.395999908,26.51600075,143100,38285,188.2613994
49.68330313,5.816700472,Arlon,BEL,Belgium,117.0186878,-4.024000168,19.85599899,508600,26179,292.4409553
47.51669707,9.766701588,Bregenz,AUT,Austria,732.8457815,-4.972000122,20.05599976,416600,26928,1125.413069
-3.93100195,29.99300455,Rutana,BDI,Burundi,443.541309,12.3039999,26.19599915,7892,20893,1369.26618
-3.481001905,30.2439966,Ruyigi,BDI,Burundi,417.7993516,11.50800037,25.15600014,7892,38458,1417.797938
-2.912003884,29.82500157,Ngozi,BDI,Burundi,438.6827516,12.25199986,24.84399986,7892,21506,1559.498434
12.7289971,-3.860000519,Nouna,BFA,Burkina Faso,50.51397004,17.34000015,37.98799896,32990,29048,303.8304007
12.455001,-3.464000439,Dedougou,BFA,Burkina Faso,48.94936196,18.48800087,38.23600006,32990,45341,304.3257391
14.09900404,-1.627001421,Djibo,BFA,Burkina Faso,54.1972583,16.45199966,39.57600021,32990,22223,301.1554521
12.06399605,-1.333997543,Kombissiri,BFA,Burkina Faso,47.73452447,16.70400047,37.20399857,32990,30137,280.8496643
12.95399712,-2.262995501,Yako,BFA,Burkina Faso,36.14428595,16.3920002,37.40800095,32990,22904,293.4365305
12.33349214,-2.466944513,Reo,BFA,Burkina Faso,36.28065888,17.30399895,37.36800003,32990,37535,293.0475553
11.09400299,-2.097998529,Leo,BFA,Burkina Faso,56.5718331,17.41199875,35.63999939,32990,26884,266.8016341
12.24299707,-0.611000429,Zorgo,BFA,Burkina Faso,45.40017511,17.18400002,37.54800034,32990,23892,278.8984949
12.17700004,-0.356003514,Koupela,BFA,Burkina Faso,45.56062537,17.42399979,38,32990,32052,271.9168401
10.32499811,-3.174002407,Gaoua,BFA,Burkina Faso,56.45003702,18.37599945,35.20399857,32990,28023,292.8580785
14.0339971,-0.027998519,Dori,BFA,Burkina Faso,33.23786689,16.13599968,39.04800034,32990,37806,284.0356664
12.07700108,1.796004571,Diapaga,BFA,Burkina Faso,56.39560923,17.25600052,37.79999924,32990,26013,259.8824095
16.8499981,97.61670064,Pa-an,MMR,Myanmar,350.4159995,19.40799904,33.27999878,311100,50000,257.5268281
20.78199907,97.03800065,Taunggyi,MMR,Myanmar,419.7274714,9.772000313,27.20800018,311100,160115,742.383128
21.87999903,95.9619966,Sagaing,MMR,Myanmar,418.7319223,16.42000008,33.50799942,311100,78739,479.190837
34.9170031,33.63599757,Larnaka,CYP,Cyprus,175.6434556,6,33.80833435,-9999,48947,49.09615141
34.75591516,32.42245666,Paphos,CYP,Cyprus,147.4282331,7.15199995,30.47999954,29260,35961,36.77729026
8.43329714,47.31669964,Laascaanood,SOL,Somaliland,212.8247007,15.47599983,34.23199844,12250,60100,666.8132011
10.58329807,47.33330461,Ceerigaabo,SOL,Somaliland,525.2140625,6.684000015,27.96800041,12250,180000,574.8134293
31.90294475,35.20620938,Ramallah,PSX,Palestine,393.4603211,2.111999989,28.24799919,21220.76953,24599,351.5408562
35.3259991,33.33300361,Kyrenia,CYN,Northern Cyprus,375.9609557,5.260000229,31.15200043,3600,26701,146.648003
9.657999007,-68.58999854,San Carlos,VEN,Venezuela,417.1524212,20.58399963,32.07600021,468600,77192,337.6686367
10.33599598,-68.74599552,San Felipe,VEN,Venezuela,414.8457306,19.7840004,31.07600021,468600,76766,336.5777251
9.900999019,-67.35400159,San Juan De Los Morros,VEN,Venezuela,295.1125881,18.13599968,31.00399971,468600,87739,214.0187591
11.03333403,-63.8833315,La Asuncion,VEN,Venezuela,207.9165014,19.13599968,29.70000076,468600,35084,74.77714954
13.9789981,45.57400265,Al Bayda,YEM,Yemen,801.6204255,8.211999893,28.8920002,73450,37821,1012.515009
14.55000311,46.80000058,'Ataq,YEM,Yemen,587.1915639,12.22399998,38.36800003,73450,37315,874.900695
